"SA_GUID__1","householdsTotal","noHeating","noRenewableEnergyHouses","yearBuilt","mobHome","unoccupiedDwellings","oneParent","onePerson","noCar","noInternet","priWater","familyUnits"
"4c07d11d-fc8f-851d-e053-ca3ca8c0ca7f",79,2,51,17,0,17,11,17,4,11,37,13
"4c07d11d-fc93-851d-e053-ca3ca8c0ca7f",72,2,42,26,0,16,6,17,3,13,38,5
"4c07d11d-fc95-851d-e053-ca3ca8c0ca7f",54,2,32,16,1,14,6,12,4,8,43,5
"4c07d11d-fcab-851d-e053-ca3ca8c0ca7f",67,0,41,16,0,8,6,19,4,7,18,13
"4c07d11d-fcb2-851d-e053-ca3ca8c0ca7f",102,1,67,31,0,10,10,33,3,14,30,14
"4c07d11d-fcb5-851d-e053-ca3ca8c0ca7f",98,1,48,18,0,11,10,24,0,8,15,12
"4c07d11d-fcb8-851d-e053-ca3ca8c0ca7f",85,4,49,23,0,16,6,15,0,5,51,15
"4c07d11d-fccf-851d-e053-ca3ca8c0ca7f",101,3,72,20,0,18,13,18,5,15,9,10
"4c07d11d-fcdd-851d-e053-ca3ca8c0ca7f",57,0,42,0,0,10,1,16,3,4,0,8
"4c07d11d-fcde-851d-e053-ca3ca8c0ca7f",98,2,74,20,0,25,6,29,6,16,11,14
"4c07d11d-fce0-851d-e053-ca3ca8c0ca7f",68,1,48,9,0,22,6,20,8,10,5,6
"4c07d11d-fce8-851d-e053-ca3ca8c0ca7f",82,0,54,20,0,9,10,24,10,16,13,9
"4c07d11d-fd13-851d-e053-ca3ca8c0ca7f",116,2,66,35,2,13,5,36,3,18,92,16
"4c07d11d-fd14-851d-e053-ca3ca8c0ca7f",73,0,43,22,0,19,9,13,0,9,72,10
"4c07d11d-fd17-851d-e053-ca3ca8c0ca7f",101,2,56,34,0,7,5,17,3,9,91,18
"4c07d11d-fd36-851d-e053-ca3ca8c0ca7f",127,3,66,34,0,23,8,27,3,3,105,21
"4c07d11d-fd48-851d-e053-ca3ca8c0ca7f",82,1,55,15,0,6,7,20,4,8,23,11
"4c07d11d-fd4a-851d-e053-ca3ca8c0ca7f",89,1,67,16,0,13,7,29,5,14,6,9
"4c07d11d-fd4d-851d-e053-ca3ca8c0ca7f",91,2,57,16,0,12,5,19,7,9,26,11
"4c07d11d-fd54-851d-e053-ca3ca8c0ca7f",66,2,45,20,0,58,3,21,3,7,7,4
"4c07d11d-fd59-851d-e053-ca3ca8c0ca7f",165,2,123,34,0,117,24,42,16,30,55,18
"4c07d11d-fd61-851d-e053-ca3ca8c0ca7f",57,0,40,9,0,29,7,15,1,8,10,10
"4c07d11d-fd71-851d-e053-ca3ca8c0ca7f",86,2,43,16,0,45,3,23,8,13,39,11
"4c07d11d-fd77-851d-e053-ca3ca8c0ca7f",68,0,40,16,0,23,11,12,3,8,63,13
"4c07d11d-fd83-851d-e053-ca3ca8c0ca7f",64,2,50,17,1,35,8,21,5,15,2,8
"4c07d11d-fd87-851d-e053-ca3ca8c0ca7f",86,0,55,27,0,12,9,10,3,11,15,12
"4c07d11d-fd88-851d-e053-ca3ca8c0ca7f",148,0,80,42,2,10,14,29,6,24,36,24
"4c07d11d-fd8f-851d-e053-ca3ca8c0ca7f",58,0,40,15,0,14,7,11,3,8,21,10
"4c07d11d-fd92-851d-e053-ca3ca8c0ca7f",70,0,41,13,1,16,1,12,1,6,49,13
"4c07d11d-fd93-851d-e053-ca3ca8c0ca7f",76,0,40,13,0,26,6,15,0,6,49,15
"4c07d11d-fd97-851d-e053-ca3ca8c0ca7f",89,1,56,28,1,17,4,26,1,10,85,10
"4c07d11d-fd9c-851d-e053-ca3ca8c0ca7f",126,1,62,27,0,18,7,22,7,14,78,24
"4c07d11d-fd9d-851d-e053-ca3ca8c0ca7f",74,2,47,18,1,20,6,10,2,9,41,15
"4c07d11d-fda5-851d-e053-ca3ca8c0ca7f",117,3,48,20,0,12,8,23,4,14,114,28
